Parameter,Model,mean,2.5%,97.5%,r_hat
households_owneroccupied_pct,ida,0.5860642706045626,0.3892558434608027,0.8096719310006437,1.0193211881613178
log_population,ophelia,0.27606433420414267,0.029202100376712486,0.6793872608841102,1.0281296281065238
income_median,ophelia,0.11393620816096016,-0.09164206060837181,0.3379863049289587,1.0019706330879885
education_bachelors_pct,ophelia,-0.07631389641319378,-0.3090860580051613,0.14766943757255732,1.0020226598361048
race_white_nh_pct,ophelia,0.2975780896398174,0.08909494386631506,0.5163124037574673,1.0119645809630746
age_median,ophelia,-0.06038008420921983,-0.25594201356404583,0.1288647145110061,1.0006944050119686
households_renteroccupied_pct,ophelia,-0.26643018280349823,-0.662703993326688,-0.030118292621623185,1.1123179908803766
population_density,ophelia,-0.4704361598245111,-0.7313189949076029,-0.2307624865493745,1.0045826972675957
population_density_land,ophelia,-0.4704361598245111,-0.7313189949076029,-0.2307624865493745,1.0045826972675957
area_m2,ophelia,0.8515046404310153,0.48605624600078245,1.2887907674392027,1.0061872456317043
income_poverty_pct,ophelia,-0.02071764493947475,-0.22399066283047006,0.18229321665654685,1.000561212546508
education_nohighschool_pct,ophelia,-0.005759146801174652,-0.2286849826044313,0.2205263548954807,1.002660870335772
race_hispanic_pct,ophelia,-0.3874566528563002,-0.6568149465872131,-0.1463707716107334,1.033326723709707
race_black_nh_pct,ophelia,-0.16094710613607932,-0.379510221216762,0.05845635128954946,1.0019591523806108
race_asian_nh_pct,ophelia,0.1571226207940401,-0.07349789992000803,0.43604847383974144,1.0031863335842959
race_other_nh_pct,ophelia,-0.08979771826880201,-0.333594551094449,0.15199727702279284,1.0010887183083796
households_owneroccupied_pct,ophelia,0.2711628464614463,0.051903106414872495,0.5291189941613907,1.0223854733131024
log_population,pooled,0.2760183496052884,0.1327644157886512,0.4172716978470213,
income_median,pooled,0.14613482713011303,0.030681437543822413,0.2595925920627156,
education_bachelors_pct,pooled,-0.07148957458389398,-0.19648667532859007,0.051506680695259946,
race_white_nh_pct,pooled,0.3233692211055885,0.20991433742241922,0.4348140164906113,
age_median,pooled,-0.07856022289617001,-0.19090761000804973,0.031799757438101574,
households_renteroccupied_pct,pooled,-0.41943773151975994,-0.5558479477875431,-0.28504089750271233,
population_density,pooled,-0.5272163278564922,-0.6630472395773972,-0.3933780694767198,
population_density_land,pooled,-0.5272163278564922,-0.6630472395773972,-0.3933780694767198,
area_m2,pooled,1.1707678242797843,0.9014992951354617,1.4380385493208172,
income_poverty_pct,pooled,-0.10994583981976719,-0.2264037888600564,0.004510020165649548,
education_nohighschool_pct,pooled,-0.0940880702325802,-0.2155208259788315,0.02534151591063421,
race_hispanic_pct,pooled,-0.24348095662481883,-0.3749006015531718,-0.11405061743585712,
race_black_nh_pct,pooled,-0.32134452218336,-0.45134448241395714,-0.19334408315535345,
race_asian_nh_pct,pooled,0.227067617898771,0.025183436664508653,0.42695013041109947,
race_other_nh_pct,pooled,-0.03848518744653991,-0.1721006112175586,0.09311858859770661,
households_owneroccupied_pct,pooled,0.42969972171904447,0.30240363760213657,0.5549846953794391,
